pid,encode_sim,encode_sim_score,tfidf_sim,tfidf_sim_score
83,497,26.984843611717224,1119,27.26402289879193
83,736,25.551894307136536,387,25.48651315787989
83,124,25.43818950653076,218,24.49121888999557
83,291,24.933210015296936,1634,20.691148892924442
83,1352,24.236807227134705,1247,19.3773004237485
83,1890,23.57281744480133,1590,19.17937232173551
83,268,23.53808581829071,381,19.060715430025247
83,1785,22.492843866348267,1017,18.34827548114818
83,783,21.375393867492676,1362,17.454792037440896
83,1017,21.00408673286438,1211,17.384936814262467
83,709,20.685115456581116,347,16.572733221208047
83,848,20.431426167488098,506,16.520253400547357
83,271,19.80700194835663,471,16.240456421079337
83,647,19.323301315307617,1133,15.39584978568579
83,504,19.323056936264038,207,15.346049893822709
83,925,19.061551988124847,1102,15.311856922199594
83,376,18.251371383666992,497,14.91151335716857
83,473,17.893217504024506,488,14.156983003075512
83,658,17.258353531360626,1453,13.781924207674571
83,1932,17.25616753101349,1430,13.4509624884249
646,98,46.38743996620178,780,64.38900050589368
646,1809,43.499088287353516,848,51.89607925836902
646,1919,36.18284463882446,855,41.16596356610594
646,1184,32.77806043624878,1007,34.78403693634115
646,1956,32.552117109298706,1644,33.211263056494545
646,348,31.964343786239624,387,29.629406695918316
646,826,30.57587742805481,295,29.118888887312078
646,925,30.26997447013855,1375,26.178621109788487
646,1902,28.45172882080078,1222,24.744034969964147
646,1819,28.32830846309662,1809,24.62320090489588
646,271,28.194725513458252,1286,24.405605133884656
646,448,28.14573645591736,1675,23.830122500877554
646,262,27.25346088409424,98,22.996507743575282
646,1341,27.180159091949463,1032,22.97789384304628
646,1532,24.96086359024048,458,22.68102854714912
646,1884,24.524202942848206,1267,21.383373480635477
646,1867,24.408701062202454,1011,21.35949804927852
646,124,24.295057356357574,867,19.54504243070112
646,585,24.247460067272186,1634,18.14688810300023
646,1222,23.815390467643738,1882,18.079695166290346
1334,506,49.649643898010254,1102,55.60268057217252
1334,1119,48.547714948654175,730,46.592120202558206
1334,1560,46.33435308933258,857,39.864850746955995
1334,1284,44.566214084625244,457,32.05622286698852
1334,247,40.220192074775696,1778,26.012877719555995
1334,102,38.443028926849365,1561,25.06517467186916
1334,1233,38.087624311447144,1737,22.531472235903923
1334,1430,36.58021092414856,1707,15.620919470287717
1334,1267,35.71746647357941,819,14.680761061568075
1334,1180,32.199206948280334,1785,12.632971067976163
1334,1211,25.339949131011963,1284,11.271212585030487
1334,1460,23.059745132923126,98,11.059927424729034
1334,1438,22.604206204414368,982,10.138124265649669
1334,1792,22.27548360824585,1195,9.80631011030734
1334,815,21.777959167957306,1884,9.451110623210456
